Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	AATONK010000082.1	94	990	+	aac(3)-VIa	aminoglycoside N-acetyltransferase AAC(3)-VIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	299	299	100.00	100.00	299	WP_000131886.1	aminoglycoside N-acetyltransferase AAC(3)-VIa	NA	NA
NA	AATONK010000101.1	783	1979	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	399	399	100.00	99.75	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
NA	AATONK010000116.1	77	946	+	blaHER-3	class A beta-lactamase HER-3	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	290	290	100.00	100.00	290	WP_023281079.1	class A beta-lactamase HER-3	NA	NA
NA	AATONK010000140.1	94	990	+	aac(3)-VIa	aminoglycoside N-acetyltransferase AAC(3)-VIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	299	299	100.00	100.00	299	WP_000131886.1	aminoglycoside N-acetyltransferase AAC(3)-VIa	NA	NA
NA	AATONK010000141.1	94	990	+	aac(3)-VIa	aminoglycoside N-acetyltransferase AAC(3)-VIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTX	299	299	100.00	100.00	299	WP_000131886.1	aminoglycoside N-acetyltransferase AAC(3)-VIa	NA	NA
NA	AATONK010000142.1	784	1980	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	399	399	100.00	99.75	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
NA	AATONK010000143.1	784	1980	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	399	399	100.00	99.50	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
NA	AATONK010000144.1	77	946	+	blaHER	HER family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	290	290	100.00	99.31	290	WP_023281079.1	class A beta-lactamase HER-3	NA	NA
NA	AATONK010000145.1	77	946	+	blaHER	HER family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	290	290	100.00	99.66	290	WP_023281079.1	class A beta-lactamase HER-3	NA	NA
NA	AATONK010000146.1	77	946	+	blaHER-3	class A beta-lactamase HER-3	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	290	290	100.00	100.00	290	WP_023281079.1	class A beta-lactamase HER-3	NA	NA
